# sfho.eos converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
9.0727384357610089e-15 -1.0505417730378719e-03 4.6351071955779219e-20
1.0591849782609123e-14 -1.0497473988347883e-03 5.4157729306080420e-20
1.2365316449018298e-14 -1.0489518767055062e-03 6.3361281996781794e-20
1.4435726905361934e-14 -1.0481541310604081e-03 7.4233158946100577e-20
1.6852800504166340e-14 -1.0473529791924507e-03 8.7104769758224194e-20
1.9674581453029109e-14 -1.0465471024536654e-03 1.0238289757081948e-19
2.2968832702682491e-14 -1.0457350150240297e-03 1.2056955423999027e-19
2.6814663223373852e-14 -1.0449150298202925e-03 1.4228767431601288e-19
3.1304427747387623e-14 -1.0440852211914819e-03 1.6831444695446209e-19
3.6545944598595585e-14 -1.0432433840575905e-03 1.9962464232560345e-19
4.2665084868547580e-14 -1.0423869892254300e-03 2.3744699179940913e-19
4.9808795116225604e-14 -1.0415131347256690e-03 2.8333758504577628e-19
5.8148626179319738e-14 -1.0406184931635032e-03 3.3927538433975305e-19
6.7884852838786985e-14 -1.0396992552205164e-03 4.0778640848452261e-19
7.9251283267337709e-14 -1.0387510697100755e-03 4.9210489672803560e-19
9.2520873757144715e-14 -1.0377689806695400e-03 5.9638219830334503e-19
1.0801228356025168e-13 -1.0367473631652802e-03 7.2595523225346558e-19
1.2609752725124224e-13 -1.0356798580745119e-03 8.8769480280349300e-19
1.4721090837791579e-13 -1.0345593069558401e-03 1.0904495605222615e-18
1.7185944893489391e-13 -1.0333776904595249e-03 1.3456138155025147e-18
2.0063506511611254e-13 -1.0321260705135060e-03 1.6678522961689675e-18
2.3422878173778181e-13 -1.0307945667406004e-03 2.0759237904878702e-18
2.7344732668048394e-13 -1.0293722839617159e-03 2.5941073443601964e-18
3.1923250385348190e-13 -1.0278471337963335e-03 3.2538759289224278e-18
3.7268380990845002e-13 -1.0262059900090215e-03 4.0942878306259218e-18
4.3508483782599556e-13 -1.0244347678045607e-03 5.1661643285352250e-18
5.0793410143728244e-13 -1.0225181346708023e-03 6.5345737063659809e-18
5.9298102110853785e-13 -1.0204395452958481e-03 8.2818266284639017e-18
6.9226793475755413e-13 -1.0181813427022623e-03 1.0512264178059993e-17
8.0817914306530782e-13 -1.0157246870512449e-03 1.3358990305279752e-17
9.4349816666653411e-13 -1.0130495089698544e-03 1.6989937690006688e-17
1.1014745903077202e-12 -1.0101345340619572e-03 2.1617809159815040e-17
1.2859020991848658e-12 -1.0069572291395712e-03 2.7511194814243980e-17
1.5012095814448891e-12 -1.0034937772325225e-03 3.5008866955748266e-17
1.7525674846090666e-12 -9.9971907197726750e-04 4.4536871076520490e-17
2.0460119799879718e-12 -9.9560669061538043e-04 5.6631565230997107e-17
2.3885899168031474e-12 -9.9112893963815285e-04 7.1963061590692514e-17
2.7885280469800804e-12 -9.8625684669273461e-04 9.1374464296887194e-17
3.2554305844184508e-12 -9.8096010688086821e-04 1.1591741517886907e-16
3.8005098429776569e-12 -9.7520713691445771e-04 1.4690721532154985e-16
4.4368554917752595e-12 -9.6896499521315071e-04 1.8598670074575108e-16
5.1797488937622728e-12 -9.6219944980757699e-04 2.3519610944896361e-16
6.0470300761805160e-12 -9.5487508168423663e-04 2.9707358535285399e-16
7.0595261454212287e-12 -9.4695506803244012e-04 3.7479088172112465e-16
8.2415514343471621e-12 -9.3840120859456366e-04 4.7226152684120089e-16
9.6214913927395543e-12 -9.2917403917169850e-04 5.9435751115446620e-16
1.1232484242561023e-11 -9.1923257447590334e-04 7.4712330712770370e-16
1.3113216767474361e-11 -9.0853451568795318e-04 9.3799826301411049e-16
1.5308853346903358e-11 -8.9703708552912875e-04 1.1760519873262882e-15
1.7872120544693210e-11 -8.8468679427100572e-04 1.4751260336433005e-15
2.0864573297950999e-11 -8.7148683586624198e-04 1.8300950136377930e-15
2.4358073112640783e-11 -8.5708350607183181e-04 2.3981029370703610e-15
2.8436513763692656e-11 -8.4080552827570099e-04 3.1864963965359097e-15
3.3197835941014135e-11 -8.2352626003479035e-04 3.6563096469474977e-15
3.8756379221620046e-11 -8.0611811067754502e-04 4.4250144864922997e-15
4.5245627848721360e-11 -7.8698256007492251e-04 6.0425135173970460e-15
5.2821416255597357e-11 -7.6567297731822137e-04 7.4609005304567719e-15
6.1665671312503414e-11 -7.4378422626786289e-04 8.6539432859453510e-15
7.1990781163856460e-11 -7.2034602709480922e-04 1.1734997278901275e-14
8.4044695570052518e-11 -6.9433434896604140e-04 1.4491595733695291e-14
9.8116880234786184e-11 -6.6745672104784326e-04 1.7023782246634661e-14
1.1454526810657866e-10 -6.4035910323323453e-04 2.0081444945259093e-14
1.3372437458479460e-10 -6.1182876532084318e-04 2.5833031157177764e-14
1.5611477151073438e-10 -5.8176137251175764e-04 3.0248308505146802e-14
1.8225414745458120e-10 -5.5093452558008238e-04 3.7120652020977225e-14
2.1277021990268396e-10 -5.1834574406273148e-04 4.6100069592571947e-14
2.4839580942166855e-10 -4.8374235059778226e-04 5.7030046150584487e-14
2.8998643779409440e-10 -4.4719486593969293e-04 7.0064032794474439e-14
3.3854087273170007e-10 -4.0868392404158627e-04 8.6314783864097237e-14
3.9522511253205385e-10 -3.6830344973981521e-04 1.0491108995316231e-13
4.6140038665218521e-10 -3.2437530462692266e-04 1.3965534299045930e-13
5.3865584461190203e-10 -2.7739911221391633e-04 1.6252163781570202e-13
6.2884671822627178e-10 -2.2636215435056783e-04 2.2604802913831930e-13
7.3413887360467138e-10 -1.7261909694710198e-04 2.4210724235109843e-13
8.5706082279911516e-10 -1.1939861825593923e-04 3.0609651484934545e-13
1.0005644441226639e-09 -6.3499680968415184e-05 3.6275764385247433e-13
1.1680958692906620e-09 -5.7470062280184919e-06 4.4631958902942477e-13
1.3636782396863021e-09 5.4918866682518441e-05 5.4534240428080623e-13
1.5920083190801935e-09 1.1856868563597800e-04 6.6978876902818564e-13
1.8585692828856423e-09 1.8553466213910852e-04 8.2272098855677717e-13
2.1697623924991879e-09 2.5592484792880121e-04 1.0084947577180022e-12
2.5330607167865835e-09 3.2980936979365438e-04 1.2353377487873477e-12
2.9571885922203442e-09 4.0733849841556591e-04 1.5134464241352828e-12
3.4523311312695155e-09 4.8878390277917738e-04 1.8582596401278773e-12
4.0303788102279075e-09 5.7462597013491212e-04 2.2919271209401263e-12
4.7052130100743822e-09 6.6525338872147621e-04 2.8226706558956774e-12
5.4930393674140677e-09 7.6131810987645210e-04 3.5114491736037311e-12
6.4127769406731996e-09 8.6012921436062761e-04 4.0503850038294125e-12
7.4865125370819671e-09 9.5994829031709195e-04 4.9005957839718492e-12
8.7400311107657648e-09 1.0641636475468008e-03 6.0224893546865167e-12
1.0203434969058022e-08 1.1737976832377761e-03 7.3911555503379595e-12
